"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","WDF5","WSF5"
"USW00013960","32.8519","-96.8555","134.1","1939-08-01","0.00","96","74",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-02","0.00","94","75",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-03","0.00","97","77",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-04","0.00","100","77",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-05","0.00","99","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-06","0.00","96","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-07","0.00","99","77",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-08","0.03","85","79",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-09","0.00","96","74",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-10","0.00","98","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-11","0.00","98","78",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-12","0.00","99","78",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-13","0.00","102","77",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-14","0.00","102","76",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-15","0.00","100","77",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-16","0.02","102","76",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-17","0.38","99","75",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-18","0.00","99","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-19","0.00","100","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-20","0.47","90","68",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-21","0.00","94","68",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-22","0.24","94","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-23","0.00","92","68",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-24","0.00","98","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-25","0.00","97","72",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-26","0.00","100","74",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-27","0.00","95","73",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-28","0.00","97","69",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-29","0.00","98","68",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-30","0.00","101","72",,
"USW00013960","32.8519","-96.8555","134.1","1939-08-31","0.00","106","75",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-01","0.00","105","82",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-02","0.00","109","78",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-03","0.00","105","79",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-04","0.00","103","80",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-05","0.00","101","78",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-06","0.00","99","74",,
"USW00013960","32.8519","-96.8555","134.1","1939-09-07","0.00","100","78",,
