"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WSFG"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-01",,"0.00","0.0","62","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-02",,"0.00","0.0","54","39",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-03",,"0.00","0.0","58","34",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-04",,"0.00","0.0","64","42",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-05",,"0.00","0.0","67","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-06",,"0.00","0.0","74","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-07",,"0.00","0.0","64","40",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-08",,"0.00","0.0","57","39",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-09",,"0.00","0.0","59","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-10",,"0.00","0.0","72","34",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-11",,"0.00","0.0","62","40",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-12",,"0.00","0.0","71","42",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-13",,"0.00","0.0","73","52",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-14",,"0.00","0.0","75","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-15",,"0.00","0.0","64","26",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-16",,"0.36","1.0","26","18",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-17",,"0.00","0.0","48","21",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-18",,"0.00","0.0","69","35",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-19",,"0.00","0.0","69","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-20",,"0.00","0.0","55","38",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-21",,"0.00","0.0","62","33",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-22",,"0.02","0.0","67","37",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-23",,"0.16","0.0","51","33",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-24",,"0.00","0.0","65","38",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-25",,"0.00","0.0","79","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-26",,"0.00","0.0","82","52",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-27",,"0.00","0.0","77","45",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-28",,"0.00","0.0","62","36",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-29",,"0.00","0.0","65","42",
